zip,ZHVIAH,ZHVIBT,ZHVIMT,ZHVITT,MVALFAH
01970,408929.0,323101.0,408929.0,503843.0,269.0
02043,817789.0,590050.0,817789.0,1282501.0,744.0
02482,1215810.0,849469.0,1215810.0,1743776.0,1808.0
01961,,,,,
01971,,,,,
01945,697376.0,516992.0,697376.0,1126138.0,680.0
01731,,,,,
02044,,,,,
01773,1030924.0,590380.0,1030924.0,1548826.0,391.0
02062,487662.0,407169.0,487662.0,592342.0,332.0
02190,432375.0,308573.0,432375.0,552637.0,312.0
02030,1162163.0,847784.0,1162163.0,1768050.0,2605.0
01866,,,,,
01730,722593.0,595472.0,722593.0,990089.0,379.0
02025,868679.0,589670.0,868679.0,1495161.0,342.0
02343,355813.0,319462.0,355813.0,428030.0,262.0
01889,,,,,
02018,,,,,
01864,565534.0,428597.0,565534.0,778478.0,317.0
01887,529316.0,440589.0,529316.0,645500.0,336.0
01778,737609.0,564091.0,737609.0,1055215.0,913.0
02322,363572.0,318564.0,363572.0,439875.0,269.0
01937,,,,,
01923,490608.0,391811.0,490608.0,628226.0,288.0
01760,605277.0,435604.0,605277.0,797632.0,560.0
02032,525161.0,433051.0,525161.0,756318.0,290.0
01865,,,,,
01821,454394.0,381986.0,454394.0,538567.0,392.0
02072,398882.0,316114.0,398882.0,494439.0,415.0
02060,,,,,
02055,,,,,
01949,586052.0,427264.0,586052.0,814007.0,285.0
02351,382758.0,317661.0,382758.0,493093.0,1149.0
01742,901570.0,647144.0,901570.0,1489567.0,399.0
02370,348461.0,304721.0,348461.0,432322.0,714.0
01915,489403.0,394295.0,489403.0,657785.0,320.0
02066,594157.0,461498.0,594157.0,831919.0,328.0
01822,,,,,
02081,518835.0,414728.0,518835.0,707868.0,298.0
02052,686738.0,539163.0,686738.0,927751.0,307.0
01965,,,,,
02067,574371.0,451061.0,574371.0,771123.0,674.0
01770,804986.0,644396.0,804986.0,1083530.0,662.0
02061,645322.0,499978.0,645322.0,912406.0,286.0
