Unnamed: 0,zipcode,communications,communications lat,communications long,energy,energy lat,energy long,food_water_shelter,food_water_shelter lat,food_water_shelter long,hazmat,hazmat lat,hazmat long,health_medical,health_medical lat,health_medical long,safe_sec,safe_sec lat,safe_sec long,transportation,transportation lat,transportation long,population,zillowprice,total lifelines
23,01908,0,0.0,0.0,1,42.426305,-70.930419,4,42.42782800000001,-70.93047,0,0.0,0.0,1,42.42556,-70.91998000000002,3,42.42440300000001,-70.9135496,0,0.0,0.0,3410.0,630758.0,9
24,01915,14,42.5880661,-70.88552094,15,42.576712,-70.84911078,77,42.551086,-70.841494,1,42.55401,-70.88172,75,42.58643,-70.8854,18,42.58435,-70.84228,9,42.5822406,-70.8849062,39502.0,489403.0,209
25,01923,9,42.584854,-70.963984,10,42.5998882,-70.9597664,84,42.54036504,-70.94192762,1,42.584856,-70.964878,81,42.597112,-70.969858,14,42.59652,-70.9388,11,42.55473038,-70.97242584,26342.0,490608.0,210
26,01940,3,42.509928,-71.012008,2,42.51454,-71.01284,22,42.51186,-71.02431,0,0.0,0.0,11,42.514311,-71.03194509999999,3,42.53914,-71.04731,0,0.0,0.0,12108.0,691319.0,41
27,01945,3,42.502335,-70.85655,0,0.0,0.0,52,42.50153,-70.85739000000002,0,0.0,0.0,21,42.500237,-70.85968000000003,7,42.492809,-70.86643199999997,6,42.50471878,-70.84832001,19808.0,697376.0,89
28,01949,2,42.5873708,-71.01053759999998,3,42.59572671,-70.99418086,24,42.58416500000001,-71.005887,0,0.0,0.0,12,42.56891,-71.00144,4,42.59471512,-71.01605225,0,0.0,0.0,8987.0,586052.0,45
29,01960,14,42.55119705,-71.00181579999997,19,42.541427,-70.974085,95,42.52405988,-70.92946004,1,42.52216660000001,-70.929277,65,42.51974970000001,-70.974956,9,42.5436446,-70.9793385,11,42.5398407,-70.98853299999998,50944.0,461352.0,214
30,01961,0,0.0,0.0,0,0.0,0.0,1,42.51722411,-70.952156,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,,,1
31,01965,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,42.552729,-70.834436,0,0.0,0.0,,,1
32,01970,11,42.5002799,-70.92647,8,42.5084915,-70.8967438,114,42.48615,-70.90088,0,0.0,0.0,59,42.52159,-70.88772,24,42.51454452,-70.8864883,18,42.5289001,-70.8886185,41109.0,408929.0,234
33,02018,0,0.0,0.0,0,0.0,0.0,2,42.17521615,-70.88727795,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,,,2
34,02021,3,42.1526529,-71.14728249999997,6,42.15696027,-71.14540502,30,42.17298,-71.11064,0,0.0,0.0,40,42.1229099,-71.1092012,7,42.15530396,-71.14498138,7,42.16344452,-71.07185364,21561.0,534586.0,93
35,02025,3,42.22164026,-70.80351013,0,0.0,0.0,49,42.23530579,-70.82337952,0,0.0,0.0,10,42.24059677,-70.80264282,2,42.24145889,-70.80436707,1,42.24090192,-70.83140665,7542.0,868679.0,65
36,02026,5,42.25529570000001,-71.1707651,13,42.270024,-71.173828,71,42.2371123,-71.1781843,1,42.240574,-71.179804,53,42.2655251,-71.1935015,15,42.2619,-71.17752,15,42.26151,-71.17751,24711.0,524214.0,173
37,02027,1,42.2305635,-71.18022140000002,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,,,1
38,02030,0,0.0,0.0,0,0.0,0.0,2,42.24449158,-71.27962494,0,0.0,0.0,0,0.0,0.0,3,42.243004,-71.279678,0,0.0,0.0,5589.0,1162163.0,5
39,02032,0,0.0,0.0,0,0.0,0.0,16,42.15522371,-71.20162073,0,0.0,0.0,2,42.155256,-71.203419,3,42.161006,-71.214614,1,42.152147,-71.20292099999998,4226.0,525161.0,22
